slug,name,ascii_name,province,province_name,latitude,longitude,population,feature_class,feature_code
viscount-alexander-park-on,Viscount Alexander Park,Viscount Alexander Park,ON,Ontario,45.45273,-75.6312,5430,P,PPL
windsor-qc,Windsor,Windsor,QC,Quebec,45.56678,-71.99909,5408,P,PPL
chisasibi-qc,Chisasibi,Chisasibi,QC,Quebec,53.78333,-78.9,5397,P,PPL
cochrane-on,Cochrane,Cochrane,ON,Ontario,49.06689,-81.03307,5390,P,PPL
ayr-on,Ayr,Ayr,ON,Ontario,43.2834,-80.44968,5383,P,PPL
greenwood-ns,Greenwood,Greenwood,NS,Nova Scotia,44.97413,-64.93169,5369,P,PPL
smithers-bc,Smithers,Smithers,BC,British Columbia,54.78036,-127.17428,5351,P,PPL
cookshire-eaton-qc,Cookshire-Eaton,Cookshire-Eaton,QC,Quebec,45.41675,-71.6324,5344,P,PPL
delhi-on,Delhi,Delhi,ON,Ontario,42.8501,-80.49968,5344,P,PPL
hildegarde-nb,Hildegarde,Hildegarde,NB,New Brunswick,46.12296,-64.85392,5327,P,PPL
armstrong-bc,Armstrong,Armstrong,BC,British Columbia,50.44979,-119.20235,5323,P,PPL
deer-lake-nl,Deer Lake,Deer Lake,NL,Newfoundland and Labrador,49.16671,-57.43163,5319,P,PPL
sussex-nb,Sussex,Sussex,NB,New Brunswick,45.72266,-65.50663,5298,P,PPL
meadow-lake-sk,Meadow Lake,Meadow Lake,SK,Saskatchewan,54.13348,-108.43471,5266,P,PPL
fernie-bc,Fernie,Fernie,BC,British Columbia,49.49996,-115.06871,5249,P,PPL
fundy-st-martins-nb,Fundy-St. Martins,Fundy-St. Martins,NB,New Brunswick,45.40777,-65.43908,5225,P,PPL
grand-falls-nb,Grand Falls,Grand Falls,NB,New Brunswick,47.04609,-67.74179,5220,P,PPL
val-david-qc,Val-David,Val-David,QC,Quebec,46.03338,-74.21592,5209,P,PPL
richelieu-qc,Richelieu,Richelieu,QC,Quebec,45.44336,-73.24602,5208,P,PPL
marystown-nl,Marystown,Marystown,NL,Newfoundland and Labrador,47.16663,-55.14829,5204,P,PPL
sainte-anne-de-bellevue-qc,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,QC,Quebec,45.40618,-73.9456,5197,P,PPL
rawdon-qc,Rawdon,Rawdon,QC,Quebec,46.05007,-73.71587,5188,P,PPL
montreal-ouest-qc,Montréal-Ouest,Montreal-Ouest,QC,Quebec,45.45286,-73.64918,5184,P,PPL
tottenham-on,Tottenham,Tottenham,ON,Ontario,44.02437,-79.80553,5143,P,PPL
champdore-nb,Champdoré,Champdore,NB,New Brunswick,46.38601,-64.78239,5115,P,PPL
hanwell-nb,Hanwell,Hanwell,NB,New Brunswick,45.88308,-66.76905,5108,P,PPL
oliver-bc,Oliver,Oliver,BC,British Columbia,49.18306,-119.5524,5094,P,PPL
hudson-qc,Hudson,Hudson,QC,Quebec,45.45008,-74.14922,5088,P,PPL
shannon-qc,Shannon,Shannon,QC,Quebec,46.88026,-71.51464,5086,P,PPL
bible-hill-ns,Bible Hill,Bible Hill,NS,Nova Scotia,45.375,-63.238,5076,P,PPL
fairvale-nb,Fairvale,Fairvale,NB,New Brunswick,45.40083,-65.97167,5075,P,PPL
metchosin-bc,Metchosin,Metchosin,BC,British Columbia,48.38293,-123.53591,5067,P,PPL
spallumcheen-bc,Spallumcheen,Spallumcheen,BC,British Columbia,50.40146,-119.22039,5055,P,PPL
breslau-on,Breslau,Breslau,ON,Ontario,43.4668,-80.41638,5053,P,PPL
mount-forest-on,Mount Forest,Mount Forest,ON,Ontario,43.97948,-80.72205,5040,P,PPL
almonte-on,Almonte,Almonte,ON,Ontario,45.22993,-76.19585,5039,P,PPL
memramcook-nb,Memramcook,Memramcook,NB,New Brunswick,46.00435,-64.55156,5029,P,PPL
saint-henri-qc,Saint-Henri,Saint-Henri,QC,Quebec,46.69314,-71.06927,5023,P,PPL
